scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
1,1,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613783.12,-9.25719,2046
1,1,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580340.72,21.4453,2046
1,5,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664391.83,0.999133,2046
1,5,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401169.43,9.71074,2046
1,6,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613789.88,25.9693,2046
1,6,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580342.49,7.40061,2046
1,10,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664405.56,6.95999,2046
1,10,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401072.47,14.7092,2046
1,11,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613785.2,6.03754,2046
1,11,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580341.41,14.7135,2046
1,15,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664396.05,8.53639,2046
1,15,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401132.85,10.6258,2046
2,1,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9939612.088,-9.25719,2046
2,5,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,10018415.67,0.999133,2046
2,6,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9973936.163,25.9693,2046
2,10,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,9958057.553,6.95999,2046
2,11,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9968371.32,6.03754,2046
2,15,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,9940885.092,8.53639,2046
3,1,1,OFDM,Modified Rapp model,40000000,32000000,0.25,39608729.88,NaN,NaN,0.990218,39559421.76,-9.25719,1637
3,1,2,QAM,Cubic polynomial,40000000,32000000,0.25,37225383.76,35298182.63,1.0546,0.930635,36738937,21.3296,1637
3,1,3,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39580761.91,NaN,NaN,0.989519,39584410.06,-5.93293,1637
3,4,1,OFDM,Modified Rapp model,40000000,32000000,0.25,39672038.75,NaN,NaN,0.991801,39561357.28,0.999132,1637
3,4,2,QAM,Cubic polynomial,40000000,32000000,0.25,36248541.91,35298182.63,1.02692,0.906214,36211916.63,9.52524,1637
3,4,3,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39587439.38,NaN,NaN,0.989686,39585423.38,29.4004,1637
4,1,1,OFDM,Ghorbani model,40000000,32000000,0.25,39924983.24,NaN,NaN,0.998125,39924969.88,-9.35717,1022
4,1,2,OFDM,Saleh model,20000000,16000000,0.25,19865152.26,NaN,NaN,0.993258,19865139.96,21.3297,1022
4,1,3,OFDM,Lookup table,40000000,32000000,0.25,39543697.89,NaN,NaN,0.988592,39543656.96,-5.87134,1022
4,1,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39492152.18,NaN,NaN,0.987304,39492124.99,15.6902,1022
4,2,1,OFDM,Ghorbani model,40000000,32000000,0.25,39996072.76,NaN,NaN,0.999902,39996076.77,-9.6475,1022
4,2,2,OFDM,Saleh model,20000000,16000000,0.25,20026637.1,NaN,NaN,1.00133,20026645.85,21.3297,1022
4,2,3,OFDM,Lookup table,40000000,32000000,0.25,39637302.53,NaN,NaN,0.990933,39637236.64,-5.90549,1022
4,2,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39644305.51,NaN,NaN,0.991108,39644273.67,15.5995,1022
4,5,1,OFDM,Ghorbani model,40000000,32000000,0.25,39895775.3,NaN,NaN,0.997394,39895796.2,0.619382,1022
4,5,2,OFDM,Saleh model,20000000,16000000,0.25,20003109.37,NaN,NaN,1.00016,20003159.79,9.52525,1022
4,5,3,OFDM,Lookup table,40000000,32000000,0.25,39637193.02,NaN,NaN,0.99093,39637188.19,29.3304,1022
4,5,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39706567.67,NaN,NaN,0.992664,39706547.36,12.2724,1022
4,6,1,OFDM,Ghorbani model,40000000,32000000,0.25,39804285.23,NaN,NaN,0.995107,39804285.99,0.903939,1022
4,6,2,OFDM,Saleh model,20000000,16000000,0.25,19955008.89,NaN,NaN,0.99775,19955099.58,9.52525,1022
4,6,3,OFDM,Lookup table,40000000,32000000,0.25,39648583.14,NaN,NaN,0.991215,39648461.35,29.4273,1022
4,6,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39678279.84,NaN,NaN,0.991957,39678315.42,12.5296,1022
4,9,1,OFDM,Ghorbani model,40000000,32000000,0.25,39871380.14,NaN,NaN,0.996785,39871410.45,4.54659,1022
4,9,2,OFDM,Saleh model,20000000,16000000,0.25,19804660.27,NaN,NaN,0.990233,19804686.59,21.6946,1022
4,9,3,OFDM,Lookup table,40000000,32000000,0.25,39540507.34,NaN,NaN,0.988513,39540462.89,19.9459,1022
4,9,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39580899.4,NaN,NaN,0.989522,39580917.14,23.1174,1022
4,10,1,OFDM,Ghorbani model,40000000,32000000,0.25,39942716.14,NaN,NaN,0.998568,39942724.49,4.73628,1022
4,10,2,OFDM,Saleh model,20000000,16000000,0.25,19947914.97,NaN,NaN,0.997396,19947986.42,21.6946,1022
4,10,3,OFDM,Lookup table,40000000,32000000,0.25,39606759.22,NaN,NaN,0.990169,39606672.24,19.8991,1022
4,10,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39496437.55,NaN,NaN,0.987411,39496384.83,23.1789,1022
4,11,1,OFDM,Ghorbani model,40000000,32000000,0.25,39924983.24,NaN,NaN,0.998125,39924991,25.8693,1022
4,11,2,OFDM,Saleh model,20000000,16000000,0.25,19865152.26,NaN,NaN,0.993258,19865152.96,7.28502,1022
4,11,3,OFDM,Lookup table,40000000,32000000,0.25,39543697.89,NaN,NaN,0.988592,39543661.34,11.7149,1022
4,11,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39492152.18,NaN,NaN,0.987304,39492135.94,-6.57048,1022
4,12,1,OFDM,Ghorbani model,40000000,32000000,0.25,39996072.76,NaN,NaN,0.999902,39996070.39,25.579,1022
4,12,2,OFDM,Saleh model,20000000,16000000,0.25,20026637.1,NaN,NaN,1.00133,20026636.58,7.28502,1022
4,12,3,OFDM,Lookup table,40000000,32000000,0.25,39637302.53,NaN,NaN,0.990933,39637243.69,11.6807,1022
4,12,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39644305.51,NaN,NaN,0.991108,39644286.41,-6.66121,1022
4,15,1,OFDM,Ghorbani model,40000000,32000000,0.25,39895775.3,NaN,NaN,0.997394,39895763.05,6.58024,1022
4,15,2,OFDM,Saleh model,20000000,16000000,0.25,20003109.37,NaN,NaN,1.00016,20003106.44,14.5237,1022
4,15,3,OFDM,Lookup table,40000000,32000000,0.25,39637193.02,NaN,NaN,0.99093,39637188.73,11.7297,1022
4,15,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39706567.67,NaN,NaN,0.992664,39706555.49,3.70494,1022
4,16,1,OFDM,Ghorbani model,40000000,32000000,0.25,39804285.23,NaN,NaN,0.995107,39804284.77,6.8648,1022
4,16,2,OFDM,Saleh model,20000000,16000000,0.25,19955008.89,NaN,NaN,0.99775,19955003.61,14.5237,1022
4,16,3,OFDM,Lookup table,40000000,32000000,0.25,39648583.14,NaN,NaN,0.991215,39648474.35,11.8266,1022
4,16,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39678279.84,NaN,NaN,0.991957,39678301.25,3.96212,1022
4,19,1,OFDM,Ghorbani model,40000000,32000000,0.25,39871380.14,NaN,NaN,0.996785,39871362.37,-8.91183,1022
4,19,2,OFDM,Saleh model,20000000,16000000,0.25,19804660.27,NaN,NaN,0.990233,19804658.71,19.9095,1022
4,19,3,OFDM,Lookup table,40000000,32000000,0.25,39540507.34,NaN,NaN,0.988513,39540467.64,20.0461,1022
4,19,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39580899.4,NaN,NaN,0.989522,39580910.07,9.32193,1022
4,20,1,OFDM,Ghorbani model,40000000,32000000,0.25,39942716.14,NaN,NaN,0.998568,39942711.2,-8.72213,1022
4,20,2,OFDM,Saleh model,20000000,16000000,0.25,19947914.97,NaN,NaN,0.997396,19947910.81,19.9095,1022
4,20,3,OFDM,Lookup table,40000000,32000000,0.25,39606759.22,NaN,NaN,0.990169,39606681.53,19.9993,1022
4,20,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39496437.55,NaN,NaN,0.987411,39496405.92,9.38345,1022
5,1,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19963216.05,NaN,NaN,0.998161,19963576.48,-9.25719,1022
5,1,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20009891.56,NaN,NaN,1.00049,19916128.61,15.8282,1022
5,1,3,QAM,Cubic polynomial,40000000,32000000,0.25,35135920.64,35298182.63,0.995403,0.878398,35136362.61,20.3976,1022
5,2,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20098874.93,NaN,NaN,1.00494,20098568.42,-9.25719,817
5,2,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20224749.15,NaN,NaN,1.01124,20240671.58,15.8282,817
5,2,3,QAM,Cubic polynomial,40000000,32000000,0.25,35266893.91,35298182.63,0.999114,0.881672,35266304.19,20.3976,817
5,3,1,QAM,Lookup table,40000000,32000000,0.25,35828435.06,35298182.63,1.01502,0.895711,34937967.42,-5.93293,305
5,4,1,QAM,Lookup table,40000000,32000000,0.25,35059161.27,35298182.63,0.993229,0.876479,35231525.33,-5.93293,1022
5,5,1,QAM,Lookup table,40000000,32000000,0.25,35152094.88,35298182.63,0.995861,0.878802,35418002.68,-5.93293,1022
5,6,1,QAM,Lookup table,40000000,32000000,0.25,35487109.12,35298182.63,1.00535,0.887178,35153636.3,21.3297,612
5,6,2,QAM,Lookup table,40000000,32000000,0.25,35582777.21,35298182.63,1.00806,0.889569,35447305.73,-5.93293,408
5,7,1,QAM,Lookup table,40000000,32000000,0.25,35219984.96,35298182.63,0.997785,0.8805,35261489.45,21.3297,1022
5,8,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20260603.81,NaN,NaN,1.01303,20259490.51,0.999131,817
5,8,2,QAM,Lookup table,40000000,32000000,0.25,35351876.7,35298182.63,1.00152,0.883797,35264877.59,21.3297,1022
5,8,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20264564.31,NaN,NaN,1.01323,20337012.5,12.4442,817
5,8,4,QAM,Cubic polynomial,40000000,32000000,0.25,35247599.68,35298182.63,0.998567,0.88119,35247060.97,21.4815,817
5,9,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19776671.5,NaN,NaN,0.988834,19777185.13,0.999131,1022
5,9,2,QAM,Lookup table,40000000,32000000,0.25,35405072.55,35298182.63,1.00303,0.885127,35118320.74,21.3297,100
5,9,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,19879896.47,NaN,NaN,0.993995,19798979.26,12.4442,1022
5,9,4,QAM,Cubic polynomial,40000000,32000000,0.25,35337957.14,35298182.63,1.00113,0.883449,35337348.94,21.4815,1022
5,10,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19963216.05,NaN,NaN,0.998161,19964143.85,25.9587,1022
5,10,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20009891.56,NaN,NaN,1.00049,19925013.5,-6.43242,1022
5,10,3,QAM,Cubic polynomial,40000000,32000000,0.25,35135920.64,35298182.63,0.995403,0.878398,35135388.29,2.74501,1022
