scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
1,1,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613783.12,-9.25768,2046
1,1,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580340.72,1.73586,2046
1,5,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664391.83,1.15088,2046
1,5,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401169.43,11.9962,2046
1,6,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613789.88,25.9566,2046
1,6,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580342.49,36.9502,2046
1,10,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664405.56,7.02825,2046
1,10,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401072.47,17.8736,2046
1,11,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613785.2,6.00576,2046
1,11,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580341.41,16.9993,2046
1,15,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664396.05,8.55699,2046
1,15,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401132.85,19.4023,2046
2,1,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9939612.088,-9.25768,2046
2,5,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,10018415.67,1.15088,2046
2,6,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9973936.163,25.9566,2046
2,10,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,9958057.553,7.02825,2046
2,11,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9968371.32,6.00576,2046
2,15,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,9940885.092,8.55699,2046
3,1,1,OFDM,Modified Rapp model,40000000,32000000,0.25,39608729.88,NaN,NaN,0.990218,39559421.76,-9.25768,1637
3,1,2,QAM,Cubic polynomial,40000000,32000000,0.25,37225383.76,35298182.63,1.0546,0.930635,36738937,-15.2245,1637
3,1,3,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39580761.91,NaN,NaN,0.989519,39584410.06,-13.8509,1637
3,4,1,OFDM,Modified Rapp model,40000000,32000000,0.25,39672038.75,NaN,NaN,0.991801,39561357.28,0.965855,1637
3,4,2,QAM,Cubic polynomial,40000000,32000000,0.25,36248541.91,35298182.63,1.02692,0.906214,36211916.63,-6.18765,1637
3,4,3,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39587439.38,NaN,NaN,0.989686,39585423.38,-4.01347,1637
4,1,1,OFDM,Ghorbani model,40000000,32000000,0.25,39924983.24,NaN,NaN,0.998125,39924969.88,-9.35205,1022
4,1,2,OFDM,Saleh model,20000000,16000000,0.25,19865152.26,NaN,NaN,0.993258,19865139.96,-24.2021,1022
4,1,3,OFDM,Lookup table,40000000,32000000,0.25,39543697.89,NaN,NaN,0.988592,39543656.96,-19.6437,1022
4,1,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39492152.18,NaN,NaN,0.987304,39492124.99,-25.4979,1022
4,2,1,OFDM,Ghorbani model,40000000,32000000,0.25,39996072.76,NaN,NaN,0.999902,39996076.77,-9.59794,1022
4,2,2,OFDM,Saleh model,20000000,16000000,0.25,20026637.1,NaN,NaN,1.00133,20026645.85,-23.7296,1022
4,2,3,OFDM,Lookup table,40000000,32000000,0.25,39637302.53,NaN,NaN,0.990933,39637236.64,-19.6405,1022
4,2,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39644305.51,NaN,NaN,0.991108,39644273.67,-25.3044,1022
4,5,1,OFDM,Ghorbani model,40000000,32000000,0.25,39895775.3,NaN,NaN,0.997394,39895796.2,0.743903,1022
4,5,2,OFDM,Saleh model,20000000,16000000,0.25,20003109.37,NaN,NaN,1.00016,20003159.79,-13.1239,1022
4,5,3,OFDM,Lookup table,40000000,32000000,0.25,39637193.02,NaN,NaN,0.99093,39637188.19,-9.27625,1022
4,5,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39706567.67,NaN,NaN,0.992664,39706547.36,-14.898,1022
4,6,1,OFDM,Ghorbani model,40000000,32000000,0.25,39804285.23,NaN,NaN,0.995107,39804285.99,0.969846,1022
4,6,2,OFDM,Saleh model,20000000,16000000,0.25,19955008.89,NaN,NaN,0.99775,19955099.58,-13.4389,1022
4,6,3,OFDM,Lookup table,40000000,32000000,0.25,39648583.14,NaN,NaN,0.991215,39648461.35,-9.41282,1022
4,6,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39678279.84,NaN,NaN,0.991957,39678315.42,-14.3601,1022
4,9,1,OFDM,Ghorbani model,40000000,32000000,0.25,39871380.14,NaN,NaN,0.996785,39871410.45,4.31228,1022
4,9,2,OFDM,Saleh model,20000000,16000000,0.25,19804660.27,NaN,NaN,0.990233,19804686.59,-10.2024,1022
4,9,3,OFDM,Lookup table,40000000,32000000,0.25,39540507.34,NaN,NaN,0.988513,39540462.89,-5.89916,1022
4,9,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39580899.4,NaN,NaN,0.989522,39580917.14,-11.4708,1022
4,10,1,OFDM,Ghorbani model,40000000,32000000,0.25,39942716.14,NaN,NaN,0.998568,39942724.49,4.71309,1022
4,10,2,OFDM,Saleh model,20000000,16000000,0.25,19947914.97,NaN,NaN,0.997396,19947986.42,-10.0878,1022
4,10,3,OFDM,Lookup table,40000000,32000000,0.25,39606759.22,NaN,NaN,0.990169,39606672.24,-5.70702,1022
4,10,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39496437.55,NaN,NaN,0.987411,39496384.83,-11.478,1022
4,11,1,OFDM,Ghorbani model,40000000,32000000,0.25,39924983.24,NaN,NaN,0.998125,39924991,25.8726,1022
4,11,2,OFDM,Saleh model,20000000,16000000,0.25,19865152.26,NaN,NaN,0.993258,19865152.96,11.0225,1022
4,11,3,OFDM,Lookup table,40000000,32000000,0.25,39543697.89,NaN,NaN,0.988592,39543661.34,15.5809,1022
4,11,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39492152.18,NaN,NaN,0.987304,39492135.94,9.72674,1022
4,12,1,OFDM,Ghorbani model,40000000,32000000,0.25,39996072.76,NaN,NaN,0.999902,39996070.39,25.6725,1022
4,12,2,OFDM,Saleh model,20000000,16000000,0.25,20026637.1,NaN,NaN,1.00133,20026636.58,11.5408,1022
4,12,3,OFDM,Lookup table,40000000,32000000,0.25,39637302.53,NaN,NaN,0.990933,39637243.69,15.6299,1022
4,12,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39644305.51,NaN,NaN,0.991108,39644286.41,9.96599,1022
4,15,1,OFDM,Ghorbani model,40000000,32000000,0.25,39895775.3,NaN,NaN,0.997394,39895763.05,6.66652,1022
4,15,2,OFDM,Saleh model,20000000,16000000,0.25,20003109.37,NaN,NaN,1.00016,20003106.44,-7.2013,1022
4,15,3,OFDM,Lookup table,40000000,32000000,0.25,39637193.02,NaN,NaN,0.99093,39637188.73,-3.35363,1022
4,15,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39706567.67,NaN,NaN,0.992664,39706555.49,-8.97539,1022
4,16,1,OFDM,Ghorbani model,40000000,32000000,0.25,39804285.23,NaN,NaN,0.995107,39804284.77,7.0358,1022
4,16,2,OFDM,Saleh model,20000000,16000000,0.25,19955008.89,NaN,NaN,0.99775,19955003.61,-7.37296,1022
4,16,3,OFDM,Lookup table,40000000,32000000,0.25,39648583.14,NaN,NaN,0.991215,39648474.35,-3.34686,1022
4,16,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39678279.84,NaN,NaN,0.991957,39678301.25,-8.29419,1022
4,19,1,OFDM,Ghorbani model,40000000,32000000,0.25,39871380.14,NaN,NaN,0.996785,39871362.37,-8.84367,1022
4,19,2,OFDM,Saleh model,20000000,16000000,0.25,19804660.27,NaN,NaN,0.990233,19804658.71,-23.3583,1022
4,19,3,OFDM,Lookup table,40000000,32000000,0.25,39540507.34,NaN,NaN,0.988513,39540467.64,-19.0551,1022
4,19,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39580899.4,NaN,NaN,0.989522,39580910.07,-24.6267,1022
4,20,1,OFDM,Ghorbani model,40000000,32000000,0.25,39942716.14,NaN,NaN,0.998568,39942711.2,-8.775,1022
4,20,2,OFDM,Saleh model,20000000,16000000,0.25,19947914.97,NaN,NaN,0.997396,19947910.81,-23.5759,1022
4,20,3,OFDM,Lookup table,40000000,32000000,0.25,39606759.22,NaN,NaN,0.990169,39606681.53,-19.1951,1022
4,20,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39496437.55,NaN,NaN,0.987411,39496405.92,-24.9661,1022
5,1,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19963216.05,NaN,NaN,0.998161,19963576.48,-9.25208,1022
5,1,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20009891.56,NaN,NaN,1.00049,19916128.61,-18.4562,1022
5,1,3,QAM,Cubic polynomial,40000000,32000000,0.25,35135920.64,35298182.63,0.995403,0.878398,35136362.61,-14.4326,1022
5,2,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20098874.93,NaN,NaN,1.00494,20098568.42,-9.20763,817
5,2,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20224749.15,NaN,NaN,1.01124,20240671.58,-17.7284,817
