scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
1,1,1,QAM,Cubic polynomial,20000000,16000000,0.25,17912677.62,17649091.31,1.01493,0.895634,17912688.82,-9.25719,2048
1,1,2,OFDM,Lookup table,40000000,32000000,0.25,39577599.69,NaN,NaN,0.98944,39577592.11,21.4109,2048
1,5,1,QAM,Cubic polynomial,20000000,16000000,0.25,18120973.47,17649091.31,1.02674,0.906049,18120991.14,0.999129,2048
1,5,2,OFDM,Lookup table,40000000,32000000,0.25,39446148.52,NaN,NaN,0.986154,39446253.83,9.56959,2048
1,6,1,QAM,Cubic polynomial,20000000,16000000,0.25,17912677.62,17649091.31,1.01493,0.895634,17912695.08,25.9682,2048
1,6,2,OFDM,Lookup table,40000000,32000000,0.25,39577599.69,NaN,NaN,0.98944,39577607.36,7.36629,2048
1,10,1,QAM,Cubic polynomial,20000000,16000000,0.25,18120973.47,17649091.31,1.02674,0.906049,18121001.08,6.95998,2048
1,10,2,OFDM,Lookup table,40000000,32000000,0.25,39446148.52,NaN,NaN,0.986154,39446041.65,14.568,2048
1,11,1,QAM,Cubic polynomial,20000000,16000000,0.25,17912677.62,17649091.31,1.01493,0.895634,17912690.74,6.03753,2048
1,11,2,OFDM,Lookup table,40000000,32000000,0.25,39577599.69,NaN,NaN,0.98944,39577597.87,14.6792,2048
1,15,1,QAM,Cubic polynomial,20000000,16000000,0.25,18120973.47,17649091.31,1.02674,0.906049,18120994.2,8.53637,2048
1,15,2,OFDM,Lookup table,40000000,32000000,0.25,39446148.52,NaN,NaN,0.986154,39446173.83,10.4847,2048
2,1,1,OFDM,Lookup table,10000000,8000000,0.25,10020081.31,NaN,NaN,1.00201,9946526.561,-9.25719,2048
2,5,1,OFDM,Lookup table,10000000,8000000,0.25,10057292.82,NaN,NaN,1.00573,10059362.68,0.999132,2048
2,6,1,OFDM,Lookup table,10000000,8000000,0.25,10020081.31,NaN,NaN,1.00201,9964433.673,25.9692,2048
2,10,1,OFDM,Lookup table,10000000,8000000,0.25,10057292.82,NaN,NaN,1.00573,9924695.755,6.95999,2048
2,11,1,OFDM,Lookup table,10000000,8000000,0.25,10020081.31,NaN,NaN,1.00201,9983031.352,6.03753,2048
2,15,1,OFDM,Lookup table,10000000,8000000,0.25,10057292.82,NaN,NaN,1.00573,9930078.437,8.53638,2048
3,1,1,OFDM,Cubic polynomial,40000000,32000000,0.25,41596190.8,NaN,NaN,1.0399,40098361.67,-9.25719,1638
3,1,2,QAM,Hyperbolic tangent,40000000,32000000,0.25,47922128.1,35298182.63,1.35764,1.19805,44900426.03,21.3287,1638
3,1,3,OFDM,Saleh model,40000000,32000000,0.25,39591196.32,NaN,NaN,0.98978,39560962.9,-5.93293,1638
3,4,1,OFDM,Cubic polynomial,40000000,32000000,0.25,41450324.97,NaN,NaN,1.03626,40533438.17,0.999132,1638
3,4,2,QAM,Hyperbolic tangent,40000000,32000000,0.25,48212481.12,35298182.63,1.36586,1.20531,43816217.81,9.52523,1638
3,4,3,OFDM,Saleh model,40000000,32000000,0.25,39629330.98,NaN,NaN,0.990733,39553606.96,29.3998,1638
4,1,1,OFDM,Saleh model,40000000,32000000,0.25,39463127.9,NaN,NaN,0.986578,39463126.2,-9.21149,1024
4,1,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,23119842.23,NaN,NaN,1.15599,23119885.39,21.3229,1024
4,1,3,OFDM,Saleh model,40000000,32000000,0.25,39538107.47,NaN,NaN,0.988453,39538068.94,-5.72783,1024
4,1,4,OFDM,Lookup table,40000000,32000000,0.25,39468421.88,NaN,NaN,0.986711,39468406.55,16.1864,1024
4,2,1,OFDM,Saleh model,40000000,32000000,0.25,49535227.69,NaN,NaN,1.23838,49535196.14,-8.98806,1024
4,2,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,49013884.74,NaN,NaN,2.45069,49014045.97,21.3229,1024
4,2,3,OFDM,Saleh model,40000000,32000000,0.25,48862556.78,NaN,NaN,1.22156,48862326,-5.48923,1024
4,2,4,OFDM,Lookup table,40000000,32000000,0.25,49211644.66,NaN,NaN,1.23029,49211543.22,16.6652,1024
4,5,1,OFDM,Saleh model,40000000,32000000,0.25,39550085.94,NaN,NaN,0.988752,39550105.08,1.01733,1024
4,5,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,23559940.36,NaN,NaN,1.178,23559929.35,9.52517,1024
4,5,3,OFDM,Saleh model,40000000,32000000,0.25,39530404.18,NaN,NaN,0.98826,39530405.51,29.6014,1024
4,5,4,OFDM,Lookup table,40000000,32000000,0.25,39665292.25,NaN,NaN,0.991632,39665314.29,12.848,1024
4,6,1,OFDM,Saleh model,40000000,32000000,0.25,49500313.7,NaN,NaN,1.23751,49500316.56,1.11354,1024
4,6,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,49422316.55,NaN,NaN,2.47112,49422420.91,9.52516,1024
4,6,3,OFDM,Saleh model,40000000,32000000,0.25,48750089.72,NaN,NaN,1.21875,48750501.48,29.8673,1024
4,6,4,OFDM,Lookup table,40000000,32000000,0.25,49072812.06,NaN,NaN,1.22682,49072746.07,13.3345,1024
4,9,1,OFDM,Saleh model,40000000,32000000,0.25,39654565.42,NaN,NaN,0.991364,39654591.97,4.75392,1024
4,9,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,23488953.97,NaN,NaN,1.17445,23488951.51,21.6934,1024
4,9,3,OFDM,Saleh model,40000000,32000000,0.25,39459588.85,NaN,NaN,0.98649,39459646.19,20.061,1024
4,9,4,OFDM,Lookup table,40000000,32000000,0.25,39492805.9,NaN,NaN,0.98732,39492805.8,23.4966,1024
4,10,1,OFDM,Saleh model,40000000,32000000,0.25,49374722.22,NaN,NaN,1.23437,49374774.43,4.95796,1024
4,10,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,49242830.71,NaN,NaN,2.46214,49242876.49,21.6934,1024
4,10,3,OFDM,Saleh model,40000000,32000000,0.25,48849875.3,NaN,NaN,1.22125,48850046.79,20.3733,1024
4,10,4,OFDM,Lookup table,40000000,32000000,0.25,49351136.41,NaN,NaN,1.23378,49351090.18,23.9538,1024
4,11,1,OFDM,Saleh model,40000000,32000000,0.25,39463127.9,NaN,NaN,0.986578,39463128.89,26.0149,1024
4,11,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,23119842.23,NaN,NaN,1.15599,23119839.71,7.28498,1024
4,11,3,OFDM,Saleh model,40000000,32000000,0.25,39538107.47,NaN,NaN,0.988453,39538073.07,11.8583,1024
4,11,4,OFDM,Lookup table,40000000,32000000,0.25,39468421.88,NaN,NaN,0.986711,39468412.77,-6.07175,1024
4,12,1,OFDM,Saleh model,40000000,32000000,0.25,49535227.69,NaN,NaN,1.23838,49535246.13,26.2383,1024
4,12,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,49013884.74,NaN,NaN,2.45069,49013875.38,7.28498,1024
4,12,3,OFDM,Saleh model,40000000,32000000,0.25,48862556.78,NaN,NaN,1.22156,48862350.52,12.0969,1024
