# BBox_Width	BBox_Height
36	83
35	83
30	83
36	83
35	83
30	83
36	83
35	83
30	83
76	18
81	18
19	30
17	30
76	18
81	18
19	30
17	30
76	18
81	18
19	30
17	30
76	18
81	18
19	30
17	30
111	16
115	16
122	11
122	11
108	12
19	128
19	128
86	15
76	15
87	15
111	16
115	16
122	11
122	11
108	12
19	128
19	128
86	15
76	15
87	15
111	16
115	16
122	11
122	11
108	12
19	128
19	128
86	15
76	15
87	15
23	129
25	129
20	128
23	129
25	129
20	128
23	129
25	129
20	128
23	129
25	129
20	128
22	67
19	23
20	25
16	24
22	67
19	23
20	25
16	24
22	67
19	23
20	25
16	24
22	67
19	23
20	25
16	24
12	20
10	18
10	18
39	17
38	17
40	17
1628	1
108	12
12	20
10	18
10	18
39	17
38	17
40	17
1628	1
108	12
12	20
10	18
10	18
39	17
38	17
40	17
1628	1
108	12
1159	2
11	24
12	23
11	24
1159	2
11	24
12	23
11	24
1159	2
11	24
12	23
11	24
21	127
1338	1
21	127
1338	1
21	127
1338	1
21	127
1338	1
40	43
40	43
772	3
233	17
217	17
215	17
79	36
77	36
11	31
79	36
77	36
11	31
79	36
77	36
11	31
18	127
18	127
18	127
17	56
16	55
15	55
30	61
359	9
55	9
3221	1
71	129
71	129
75	20
313	9
313	9
311	9
40	21
40	21
39	21
1020	3
24	28
25	28
963	1
11	32
11	32
11	32
1020	3
24	28
25	28
963	1
11	32
11	32
11	32
29	43
25	43
31	25
30	27
29	43
25	43
31	25
30	27
29	43
25	43
31	25
30	27
52	32
50	32
1077	2
55	30
51	30
51	30
294	23
52	32
50	32
1077	2
55	30
51	30
51	30
294	23
52	32
50	32
1077	2
55	30
51	30
51	30
294	23
785	2
56	28
798	1
55	21
785	2
56	28
798	1
55	21
12	41
12	41
1499	2
24	21
22	21
8	26
7	28
1499	2
24	21
22	21
8	26
7	28
1499	2
24	21
22	21
8	26
7	28
36	50
36	50
36	50
18	25
22	37
19	37
18	25
22	37
19	37
18	25
22	37
19	37
18	77
986	2
56	28
59	30
38	31
42	31
38	31
34	25
35	26
38	31
42	31
38	31
34	25
35	26
72	27
902	3
26	42
24	42
66	17
64	18
63	17
72	27
902	3
26	42
24	42
66	17
64	18
63	17
72	27
902	3
26	42
24	42
66	17
64	18
63	17
13	28
45	56
41	56
39	56
15	127
14	127
14	127
15	127
14	127
14	127
65	24
66	24
64	24
1365	2
65	24
66	24
64	24
1365	2
25	63
25	63
24	63
78	17
77	16
25	63
25	63
24	63
78	17
77	16
25	63
25	63
24	63
78	17
77	16
1359	1
71	20
82	20
81	20
35	17
38	17
36	17
1410	2
1359	1
71	20
82	20
81	20
35	17
38	17
36	17
1410	2
1359	1
71	20
82	20
81	20
35	17
38	17
36	17
1410	2
1359	1
71	20
82	20
81	20
35	17
38	17
36	17
1410	2
152	25
30	50
30	51
152	25
30	50
30	51
152	25
30	50
30	51
152	25
30	50
30	51
1369	2
21	27
11	27
35	80
35	80
33	80
16	22
33	44
32	44
1341	2
19	28
19	28
19	28
16	22
33	44
32	44
1341	2
19	28
19	28
19	28
16	22
33	44
32	44
1341	2
19	28
19	28
19	28
16	22
33	44
32	44
1341	2
19	28
19	28
19	28
1020	2
1040	1
32	80
288	25
1020	2
1040	1
32	80
288	25
1020	2
1040	1
32	80
288	25
1020	2
1040	1
32	80
288	25
8	44
8	44
6	43
51	32
50	34
46	34
18	110
18	110
18	110
18	110
37	128
36	128
35	128
37	128
36	128
35	128
37	128
36	128
35	128
37	128
36	128
35	128
1517	2
26	17
1517	2
26	17
1517	2
26	17
1517	2
26	17
1225	1
370	11
370	11
368	11
56	21
55	21
60	21
1225	1
370	11
370	11
368	11
56	21
55	21
60	21
63	39
52	39
20	27
21	27
20	27
56	20
22	129
23	129
51	14
49	14
52	14
42	31
32	16
32	16
31	16
8	24
34	84
37	82
43	37
13	18
1345	2
34	84
37	82
43	37
13	18
1345	2
75	17
74	17
75	17
28	85
28	85
61	91
65	91
75	17
74	17
75	17
28	85
28	85
61	91
65	91
190	1
190	1
190	1
277	15
277	15
25	33
850	3
999	1
277	15
277	15
25	33
850	3
999	1
277	15
277	15
25	33
850	3
999	1
277	15
277	15
25	33
850	3
999	1
46	43
45	43
48	43
17	85
15	85
13	85
46	43
45	43
48	43
17	85
15	85
13	85
41	21
41	21
34	21
26	32
26	32
25	32
59	23
56	23
62	23
26	32
26	32
25	32
59	23
56	23
62	23
26	32
26	32
25	32
59	23
56	23
62	23
66	19
61	18
1419	2
37	25
34	25
33	25
23	17
23	17
21	17
23	17
23	17
21	17
23	17
23	17
21	17
44	41
47	41
41	41
8	41
8	41
8	40
44	41
47	41
41	41
8	41
8	41
8	40
44	41
47	41
41	41
8	41
8	41
8	40
44	41
47	41
41	41
8	41
8	41
8	40
16	26
18	27
1663	2
26	16
29	16
44	44
19	70
20	70
17	70
44	44
19	70
20	70
17	70
44	44
19	70
20	70
17	70
25	128
26	127
44	15
48	15
86	16
94	16
85	16
29	26
29	26
21	117
21	117
19	116
865	2
1230	1
59	23
62	23
49	27
47	27
43	27
10	26
10	26
10	26
55	109
53	109
51	109
20	35
20	35
70	26
81	26
79	46
77	46
77	46
88	21
89	21
78	21
28	43
70	26
81	26
79	46
77	46
77	46
88	21
89	21
78	21
28	43
22	43
25	24
25	24
14	23
13	21
14	21
22	43
25	24
25	24
14	23
13	21
14	21
193	1
199	11
178	6
193	1
199	11
178	6
193	1
199	11
178	6
56	28
57	26
52	28
59	27
9	22
9	22
9	20
35	22
31	24
31	24
56	28
57	26
52	28
59	27
9	22
9	22
9	20
35	22
31	24
31	24
56	28
57	26
52	28
59	27
9	22
9	22
9	20
35	22
31	24
31	24
56	28
57	26
52	28
59	27
9	22
9	22
9	20
35	22
31	24
31	24
9	41
8	42
56	35
60	35
